CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50058732,OFFICE COFFEE,Manhattan,267,CANAL ST,10013,6468618623,Café/Coffee/Tea,02/13/2018,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,7,A,02/13/2018,09/30/2019,Cycle Inspection / Initial Inspection,40.718837805993,-74.001093067122,102,01,004500,1002692,1002090028,MN24
50050646,CROWN FRIED CHICKEN PIZZA & COFFEE SHOP,Brooklyn,108,MALCOLM X BLVD,11221,9177750480,American,11/21/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,10,A,11/21/2016,09/30/2019,Pre-permit (Operational) / Initial Inspection,40.689914283911,-73.930459992003,303,36,029100,3044325,3016260041,BK35
50083734,CRUMBS&COFFEE,Brooklyn,423,5TH AVE,11215,3472618519,Café/Coffee/Tea,10/03/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,9,A,10/03/2018,09/30/2019,Pre-permit (Operational) / Initial Inspection,40.669680806945,-73.985865527141,306,39,013700,3022118,3010050010,BK37
50056353,CHAMPION COFFEE,Brooklyn,1107,MANHATTAN AVE,11222,3479873851,Café/Coffee/Tea,06/06/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,A,06/06/2019,09/30/2019,Cycle Inspection / Initial Inspection,40.73632697641,-73.955277082089,301,33,056300,3063743,3024870042,BK76
50077293,STARBUCKS COFFEE,Queens,7425,GRAND AVE,11373,7183351957,Café/Coffee/Tea,04/11/2019,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Y,28,,,09/30/2019,Cycle Inspection / Initial Inspection,40.730266466629,-73.887214266247,405,30,049900,4058131,4024920079,QN29
50018885,MANHATTANVILLE COFFEE,Brooklyn,167,ROGERS AVE,11216,7189540954,Café/Coffee/Tea,06/13/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,13,A,06/13/2019,09/30/2019,Cycle Inspection / Re-inspection,40.671648323028,-73.953103593308,308,35,031702,3032221,3012540011,BK61
50002504,CASELLA BAGEL COFFEE SHOP,Brooklyn,66,WILLOUGHBY ST,11201,7185225641,American,06/27/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,7,A,06/27/2016,09/30/2019,Cycle Inspection / Re-inspection,40.692171518225,-73.986059072852,302,33,001100,3000408,3001520026,BK38
41541587,"SEATTLE COFFEE ROASTERS, PIER 79/ NY WATERWAY",Manhattan,PIER 79,W 38TH ST,10018,917536391_,American,01/20/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,46,,,09/30/2019,Cycle Inspection / Initial Inspection,40.75191947312,-73.984996220221,105,04,008400,,1,MN17
50080712,STUMPTOWN COFFEE,Brooklyn,212,PACIFIC ST,11201,3474166741,Café/Coffee/Tea,06/24/2019,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Y,28,,,09/30/2019,Cycle Inspection / Initial Inspection,40.688927768744,-73.992059901096,302,33,004300,3002831,3002790027,BK38
40906994,GABBY'S COFFEE SHOP,Brooklyn,101,DITMAS AVENUE,11218,7184361956,Spanish,03/16/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,30,,,09/30/2019,Cycle Inspection / Initial Inspection,40.635572903866,-73.977852581966,312,39,048600,3126607,3053850055,BK41
50002563,BLUESTONE LANE COFFEE,Manhattan,30,BROAD,,6466843771,Café/Coffee/Tea,05/11/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,2,A,05/11/2016,09/30/2019,Cycle Inspection / Re-inspection,0,0,,,,,1,
41503140,VIP COFFEE,Brooklyn,6714,BAY PARKWAY,11204,7188378388,Bakery,08/08/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02B,Hot food item not held at or above 140º F.,Y,40,,,09/30/2019,Cycle Inspection / Initial Inspection,40.612372122251,-73.982981935903,311,47,025600,3134805,3055720037,BK28
50051274,LUDLOW COFFEE SUPPLY,Manhattan,176,LUDLOW ST,10002,6465259421,Café/Coffee/Tea,10/21/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,8,A,10/21/2016,09/30/2019,Pre-permit (Operational) / Re-inspection,40.721713647899,-73.987513963043,103,01,003001,1005417,1004120046,MN27
50061246,EAST ONE COFFEE ROASTERS,Brooklyn,384,COURT ST,11231,3479874919,American,12/31/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,27,B,12/31/2018,09/30/2019,Cycle Inspection / Re-inspection,40.681209683578,-73.996463064469,306,39,006500,3331264,3003510034,BK33
40699339,NICK GARDEN COFFEE SHOP,Bronx,2953,WEBSTER AVENUE,10458,7183652277,Café/Coffee/Tea,08/02/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,22,,,09/30/2019,Cycle Inspection / Initial Inspection,40.867590420776,-73.883086472857,207,11,041500,2016446,2032800061,BX05
50075625,NIFOROS COFFEE SHOP,Queens,4357,11TH ST,11101,7187867759,American,05/22/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,14,,,09/30/2019,Pre-permit (Operational) / Initial Inspection,40.750531233401,-73.948962226984,402,26,001900,4005219,4004450014,QN31
50000039,INTELLIGENTSIA COFFEE,Manhattan,180,10 AVENUE,10011,2129339736,Café/Coffee/Tea,09/27/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,35,,,09/30/2019,Cycle Inspection / Initial Inspection,40.746208487014,-74.005229397631,104,03,008900,1088996,1007187502,MN13
50046592,STARBUCKS COFFEE COMPANY #25533,Manhattan,222,BROADWAY,10038,2126159700,Café/Coffee/Tea,06/05/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,2,A,06/05/2017,09/30/2019,Cycle Inspection / Initial Inspection,40.711305839172,-74.008660582395,101,01,001501,1001245,1000890012,MN25
50088120,ELEVA COFFEE BAR,Brooklyn,649,GRAND ST,11211,9084155457,Café/Coffee/Tea,04/19/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Y,85,,,09/30/2019,Pre-permit (Operational) / Initial Inspection,40.711411638895,-73.946344699581,301,34,050300,3069393,3027810034,BK90
50038734,DIVINE CREATION COFFEE,Queens,75,JFK AIRPORT,11430,3472644588,Café/Coffee/Tea,07/28/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,8,A,07/28/2017,09/30/2019,Cycle Inspection / Initial Inspection,40.658734699915,-73.780935309995,483,28,071600,4542286,4142600001,QN98
40581387,STARBUCKS COFFEE #7358,Brooklyn,50,COURT STREET,11201,7188550369,Café/Coffee/Tea,04/18/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,11,A,04/18/2017,09/30/2019,Cycle Inspection / Initial Inspection,40.6923065143,-73.991100290211,302,33,000900,3002549,3002650043,BK09
41217572,JACK'S STIR BREW COFFEE,Manhattan,222,FRONT STREET,10038,2122277631,Café/Coffee/Tea,12/30/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,15,,,09/30/2019,Cycle Inspection / Initial Inspection,40.707449741844,-74.002290358375,101,01,001501,1086561,1000977503,MN25
50087832,BELLA PIZZA COFFEE BAR,Queens,4006,JUNCTION BLVD,11368,9292080065,Pizza,05/14/2019,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Y,36,,,09/30/2019,Pre-permit (Operational) / Initial Inspection,40.748986017855,-73.869338939372,404,21,046500,4039789,4015940032,QN29
50042006,COFFEE PROJECT NY,Manhattan,239,E 5TH ST,10003,2122287888,Café/Coffee/Tea,02/27/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,7,A,02/27/2017,09/30/2019,Cycle Inspection / Initial Inspection,40.727315981908,-73.990251338056,103,02,003800,1006629,1004610035,MN22
50048622,STARBUCKS COFFEE #26188,Manhattan,1000,S 8 ave,10019,6466529813,Café/Coffee/Tea,08/01/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,5,A,08/01/2017,09/30/2019,Cycle Inspection / Initial Inspection,40.766812226924,-73.982808747226,104,03,013900,1799161,1270000161,MN15
50073022,FLOWER POWER COFFEE HOUSE NYC,Queens,6402,MYRTLE AVE,11385,7183660011,Café/Coffee/Tea,08/04/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,27,,,09/30/2019,Pre-permit (Operational) / Initial Inspection,40.700965400947,-73.892259050842,405,30,057700,4086894,4035930016,QN19
50002099,A & C COFFEE SHOP AND PIZZERIA,Brooklyn,9002,AVENUE B,11236,7183428395,American,11/22/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,11/22/2017,09/30/2019,Cycle Inspection / Re-inspection,40.64959492442,-73.91618818195,317,42,093000,3228173,3081080032,BK96
41169084,THINK COFFEE,Manhattan,248,MERCER STREET,10012,2122287093,Café/Coffee/Tea,06/10/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,A,06/10/2016,09/30/2019,Cycle Inspection / Re-inspection,40.728274231242,-73.99550083016,102,01,005501,1008629,1005357501,MN23
41721734,SKILLMAN'S  FAMOUS PIZZA & COFFEE SHOP,Queens,4606,SKILLMAN AVENUE,11104,7187841821,American,09/07/2017,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,N,11,A,09/07/2017,09/30/2019,Cycle Inspection / Re-inspection,40.746530517582,-73.917837776623,402,26,025301,4001252,4001370030,QN31
41679329,BEST COFFEE SHOP,Brooklyn,4410,FT HAMILTON PARKWAY,11219,7184351014,American,06/06/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,A,06/06/2019,09/30/2019,Cycle Inspection / Initial Inspection,40.640529241731,-73.99444381573,312,39,011200,3136345,3056080029,BK34
41520844,POP'S COFFEE DINER,Queens,4429B,KISSENA BOULEVARD,11355,7184637719,American,09/18/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,19,,,09/30/2019,Cycle Inspection / Initial Inspection,40.753311361905,-73.822087482721,407,20,085900,4117219,4051920015,QN22
50063482,DELI ORGANIC COFFEE SHOP,Queens,10315,ROOSEVELT AVE,11368,7183352752,Delicatessen,05/09/2017,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Y,32,,,09/30/2019,Pre-permit (Operational) / Initial Inspection,40.749894757494,-73.862483327178,403,21,040500,4044393,4017700096,QN26
50042774,BLANK SLATE COFFEE + KITCHEN,Manhattan,121,MADISON AVE,10016,2126837800,American,01/18/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,10,A,01/18/2019,09/30/2019,Cycle Inspection / Re-inspection,40.745397876228,-73.984662064479,105,02,007400,1016958,1008600022,MN17
41264387,CUENCA COFFEE SHOP RESTAURANT,Queens,9529,JAMAICA AVENUE,11421,7188474642,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",09/03/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,23,,,09/30/2019,Cycle Inspection / Initial Inspection,40.694442279171,-73.8494681055,409,32,002200,4182440,4088830083,QN53
50002701,JENNY COFFEE SHOP #2,Brooklyn,233,KINGSTON AVE,11213,7186049376,Spanish,07/30/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,33,Z,07/30/2019,09/30/2019,Cycle Inspection / Re-inspection,40.671936905479,-73.941946111689,308,35,033900,3032054,3012510009,BK61
50038540,FLATIRON COFFEE SHOP,Queens,NKA,JFK INTERNATIONAL AIRPORT,11430,7187514754,American,06/07/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,18,,,09/30/2019,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,483,28,071600,4000000,4142600001,QN98
50057288,ODD FOX COFFEE,Brooklyn,984,MANHATTAN AVE,11222,5035512887,Café/Coffee/Tea,02/05/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,2,A,02/05/2018,09/30/2019,Cycle Inspection / Initial Inspection,40.732695411351,-73.954662520538,301,33,057500,3064316,3025330005,BK76
50009140,LIC LANDING BY COFFEED,Queens,5210,CENTER BLVD,11101,9178326309,American,05/17/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,30,,,09/30/2019,Cycle Inspection / Initial Inspection,40.742018665985,-73.960145049346,402,26,000100,,4,QN31
50003977,GORILLA COFFEE,Brooklyn,472,BERGEN ST,11217,3479873766,Café/Coffee/Tea,04/23/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,24,,,09/30/2019,Cycle Inspection / Initial Inspection,40.680982104398,-73.975764322639,306,39,012902,3018597,3009330027,BK37
